text,label
"with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie ",0
enigma is well-made ,1
is ) so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits . ,0
the closest thing to the experience of space travel ,1
lose their luster ,0
reopens an interesting controversy and ,1
"competent , unpretentious entertainment ",1
an effective portrait of a life in stasis ,1
transcendent performance ,1
so vivid ,1
' rip-off ,0
its hackneyed and meanspirited storyline with cardboard characters and performers ,0
a rollicking good time for the most part ,1
not funny performers ,0
"who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny ",0
entering ,1
and revolutionary spirit ,1
of deft and subtle poetry ,1
a buoyant delivery ,1
"is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham ",1
brainless ,0
a good chance of being the big ,1
"there 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a hollywood career , if they want one . ",1
like jimmy 's routines ,1
is less concerned with cultural and political issues than doting on its eccentric characters . ,0
all too predictable and far too cliched ,0
hip-hop rarely comes alive as its own fire-breathing entity in this picture . ,0
"such a flat , plodding picture ",0
"awe and affection -- and a strange urge to get on a board and , uh , shred , dude ",1
"is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is . ",1
that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace ,1
masterful british actor ian holm ,1
it shows us a slice of life that 's very different from our own and yet instantly recognizable . ,1
action-adventure buffs ,1
all the sibling rivalry and ,0
"treads heavily into romeo and juliet/west side story territory , where it plainly has no business going ",0
"about a wild-and-woolly , wall-to-wall good time ",1
"so many red herrings , ",0
expects something special but instead gets ( sci-fi ) rehash . ,0
gave people seizures ,0
"has rewards , from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes ",1
wonderful ,1
"of dark humor , gorgeous exterior photography , and a stable-full of solid performances ",1
"and there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after greene 's story ends . ",1
jaw-droppingly superficial ,0
venice beach that was a deserved co-winner of the audience award for documentaries at the sundance film festival ,1
straight-ahead ,1
's really an exercise in gross romanticization of the delusional personality type ,0
"'s a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug ",0
scores a direct hit ,1
an often intense character study ,1
"enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor ",1
"as a good old-fashioned adventure for kids , spirit ",1
"godard uses his characters -- if that 's not too glorified a term -- as art things , mouthpieces , visual motifs , blanks . ",0
no cliche escapes the perfervid treatment of gang warfare called ces wild . ,0
"the acting , for the most part ",1
the logic of it all will be greek to anyone not predisposed to the movie 's rude and crude humor . ,0
"but arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us . ",1
mr. schnitzler proves himself a deft pace master and stylist . ,1
this family film sequel is plenty of fun for all . ,1
is just the point ,1
indie . ,1
"to ask people to sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's ",0
to remake sleepless in seattle again and again ,0
ranks with the best of herzog 's works ,1
unbelievable naïveté and arbitrary flashbacks ,0
"with an idea buried somewhere inside its fabric , but never clearly seen or felt ",0
"so muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker 's characteristic style . ",0
disconcertingly slack ,0
mindless action movie ,0
delicate treatment ,1
called best bad film you thought was going to be really awful but ,0
"gets very ugly , very fast ",0
begin with ,1
hate yourself ,0
"this is a gorgeous film - vivid with color , music and life . ",1
by characters who are nearly impossible to care about ,0
interesting look ,1
"beyond road warrior , it owes enormous debts to aliens and every previous dragon drama ",1
lopez romantic comedy ,1
as some of the recent hollywood trip tripe ,0
"will dip into your wallet , swipe 90 minutes of your time , and offer you precisely this in recompense : a few early laughs scattered around a plot as thin as it is repetitious ",0
"it 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score ... grant and bullock make it look as though they are having so much fun . ",1
is eerily convincing as this bland blank of a man with unimaginable demons within ,1
doing unpleasant things to each other and themselves ,0
could n't someone take rob schneider and have him switch bodies with a funny person ,0
the story is smart and entirely charming in intent and execution . ,1
enhanced by a surplus of vintage archive footage ,1
completely serviceable and quickly forgettable ,0
dreamy and ,1
"the story has its redundancies , and the young actors , not very experienced , are sometimes inexpressive ",0
"like all great films about a life you never knew existed , it offers much to absorb and even more to think about after the final frame . ",1
this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times . ,1
does n't bode well for the rest of it ,0
much of all about lily chou-chou is mesmerizing : ,1
comforting fantasies ,1
